,filename,cosine_distance
0,image_0037.jpg,0.12037795782089233
1,image_0016.jpg,0.12726503610610962
2,image_0040.jpg,0.14787346124649048
3,image_0049.jpg,0.1491706371307373
4,image_0036.jpg,0.15232634544372559
5,image_0026.jpg,0.15434002876281738
6,image_0021.jpg,0.1568211317062378
7,image_0017.jpg,0.16339462995529175
8,image_0006.jpg,0.1655070185661316
9,image_1130.jpg,0.16705602407455444
10,image_0022.jpg,0.16995620727539062
11,image_1125.jpg,0.17281049489974976
12,image_1141.jpg,0.17290198802947998
13,image_1065.jpg,0.17319947481155396
14,image_0451.jpg,0.1733795404434204
15,image_0020.jpg,0.17633545398712158
16,image_1169.jpg,0.17967909574508667
17,image_1129.jpg,0.18207156658172607
18,image_0080.jpg,0.18509948253631592
